Movie_Description,Action,Sci-Fi,Comedy,Crime,Western,Family,Drama,Horror,Romance,Thriller,Adventure
"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",1,1,0,0,0,0,0,0,0,0,1
"When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.",1,0,0,1,0,0,0,0,0,1,0
"An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.",1,0,0,1,0,0,0,0,0,1,0
James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,1,0,0,0,0,0,0,0,0,1,1
"Fugitive Jesse Pinkman runs from his captors, the law, and his past.",1,0,0,1,0,0,1,0,0,0,0
"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",1,1,0,0,0,0,0,0,0,1,0
"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",1,0,0,0,0,0,0,0,0,0,1
"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",1,0,0,1,0,0,1,0,0,0,0
"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",1,0,0,0,0,0,1,0,0,0,0
"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",1,0,0,0,0,0,0,0,0,0,1
"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.",1,0,0,0,0,0,1,0,0,0,1
"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",1,0,1,1,0,0,0,0,0,0,0
"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",1,1,0,0,0,0,0,0,0,0,1
"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",1,0,0,0,0,0,0,0,0,1,1
"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",1,0,0,0,0,0,1,0,0,0,0
"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",1,0,0,0,0,0,0,0,0,1,0
"Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.",1,0,0,0,0,0,1,0,0,1,0
"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",1,1,0,0,0,0,0,0,0,0,1
"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",1,0,0,1,0,0,1,0,0,0,0
Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,1,0,0,1,0,0,0,0,0,1,0
A married couple's life is turned upside down when the wife is accused of a murder.,1,0,0,1,0,0,1,0,0,0,0
"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",1,0,1,0,0,0,0,0,0,0,0
A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,1,0,0,0,0,0,1,0,0,0,0
"An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities.",1,0,0,0,0,0,0,0,0,1,0
The true story about one of the most brilliant saboteurs during World War II and his battle to overcome his inner demons.,1,0,0,0,0,0,1,0,0,0,0
"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",1,0,1,0,0,0,0,0,0,0,0
Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,1,0,0,0,0,0,0,0,0,0,1
"A look at Germany's terrorist group, The Red Army Faction (RAF), which organized bombings, robberies, kidnappings, and assassinations in the late 1960s and '70s.",1,0,0,1,0,0,0,0,0,0,0
"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",1,0,1,0,0,0,0,0,0,0,1
"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",1,1,0,0,0,0,0,0,0,0,1
The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.).,1,0,0,0,0,0,1,0,0,0,1
"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands.",1,0,0,1,0,0,1,0,0,0,0
"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",1,0,0,0,0,0,0,0,0,0,1
A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,1,0,0,1,0,0,1,0,0,0,0
"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",1,0,0,0,0,0,0,1,0,0,0
A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,1,0,1,0,0,0,0,0,0,0,0
"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",1,1,0,0,0,0,0,0,0,0,1
"In a desperate attempt to prove his innocence, a skilled police negotiator accused of corruption and murder takes hostages in a government office to gain the time he needs to find the truth.",1,0,0,1,0,0,1,0,0,0,0
A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,1,0,0,0,0,0,0,0,0,1,0
"Humans in a fascist, militaristic future wage war with giant alien bugs.",1,1,0,0,0,0,0,0,0,0,1
A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,1,0,1,0,0,0,0,0,0,0,1
"Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.",1,0,1,1,0,0,0,0,0,0,0
"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.",1,1,0,1,0,0,0,0,0,0,0
"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",1,0,0,0,0,0,1,0,0,1,0
"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",1,0,1,0,0,0,0,0,0,1,0
A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,1,0,0,0,0,0,0,0,0,1,1
"Convicted felon, Nikita, isn't going to jail; she's given a new identity and trained, stylishly, as a top secret spy/assassin.",1,0,0,0,0,0,0,0,0,1,0
"To save Earth from an alien probe, Admiral James T. Kirk and his fugitive crew go back in time to San Francisco in 1986 to retrieve the only beings who can communicate with it: humpback whales.",1,0,1,0,0,0,0,0,0,0,1
A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,1,0,0,1,0,0,1,0,0,0,0
A martial arts master agrees to teach karate to a bullied teenager.,1,0,0,0,0,1,1,0,0,0,0
A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,1,0,1,1,0,0,0,0,0,0,0
"An unlikely partnership between a Highway Patrol Officer, two criminals and a station secretary is formed to defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang.",1,0,0,1,0,0,0,0,0,1,0
A recently-released ex-con and his loyal wife go on the run after a heist goes awry.,1,0,0,1,0,0,0,0,0,1,0
The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.,1,0,0,0,0,1,0,0,0,0,1
"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",1,0,1,0,0,0,0,0,0,0,1
"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",1,0,0,0,0,0,1,0,0,0,0
Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,1,0,0,0,0,0,1,0,0,0,0
"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",1,0,0,0,0,0,1,0,0,0,0
Two cops lost in the deep south of Spain. One serial killer to catch. A lot of secrets and lies to disclose.,1,0,0,1,0,0,0,0,0,0,0
"In 1971, a young and disoriented British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast.",1,0,0,1,0,0,1,0,0,0,0
"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",1,0,0,1,0,0,0,0,0,1,0
Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,1,1,0,0,0,0,0,0,0,0,1
"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",1,0,0,0,0,0,1,0,0,0,0
"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",1,0,1,0,0,0,0,0,0,0,1
"Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.",1,0,0,0,0,0,0,0,0,0,1
Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,1,0,0,0,0,0,1,0,0,0,1
"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",1,0,0,0,0,0,0,0,0,0,1
Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,1,1,0,0,0,0,0,0,0,0,1
"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",1,0,0,0,0,0,0,0,0,0,1
An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,1,0,0,1,0,0,1,0,0,0,0
A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,1,0,1,1,0,0,0,0,0,0,0
"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",1,0,0,0,0,0,0,0,0,0,1
"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",1,0,0,0,0,0,0,0,0,0,1
"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",1,0,0,0,0,0,1,0,0,0,1
"When a Russian mobster orchestrates a crooked land deal, millions of dollars are up for grabs, drawing in the entire London underworld into a feeding frenzy at a time when the old criminal regime is losing turf to a wealthy foreign mob.",1,0,0,1,0,0,0,0,0,1,0
The story of two outlaws and a bounty hunter in 1940s Manchuria and their rivalry to possess a treasure map while being pursued by the Japanese army and Chinese bandits.,1,0,1,0,0,0,0,0,0,0,1
"A marksman living in exile is coaxed back into action after hearing of a plot to kill the President. After being-double crossed for the attempt and on the run, he sets out for the real killer and the truth.",1,0,0,0,0,0,1,0,0,1,0
"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",1,1,0,0,0,0,1,0,0,0,0
A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,1,0,0,1,0,0,0,0,0,1,0
The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.,1,0,0,0,0,0,1,0,0,0,0
A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,1,0,0,1,0,0,1,0,0,0,0
"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",1,0,0,0,0,0,1,0,0,0,0
An ex-mercenary is forced out of isolation when three mysterious men kidnap and brainwash the city's children afflicted with the Geostigma disease.,1,0,0,0,0,0,0,0,0,0,1
"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",1,0,1,0,0,0,0,0,0,0,0
"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",1,0,1,0,0,0,0,0,0,0,1
"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",1,0,0,0,0,0,1,0,0,0,1
"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",1,0,0,0,0,0,1,0,0,0,1
"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",1,1,0,0,0,0,0,0,0,0,0
Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,1,0,0,0,0,0,1,0,0,0,0
A man begins to suspect his neighbors are not what they appear to be and their secrets could be deadly.,1,0,0,1,0,0,1,0,0,0,0
A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,1,0,0,1,0,0,0,0,0,1,0
"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",1,0,0,1,0,0,0,1,0,0,0
"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",1,0,0,0,0,0,0,0,0,1,1
Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,1,0,0,1,0,0,1,0,0,0,0
"Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",1,0,0,1,0,0,1,0,0,0,0
"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",1,1,0,0,0,0,0,0,0,0,1
An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,1,0,0,1,0,0,0,0,0,1,0
Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,1,0,0,1,0,0,0,0,0,1,0
A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,1,0,0,0,0,0,1,0,0,0,1
They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,1,1,0,0,0,0,0,1,0,0,0
"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",1,0,0,0,0,0,0,0,0,0,1
A young man who escapes the clutches of a murderous hitchhiker is subsequently stalked by the hitcher and framed for his crimes.,1,0,0,0,0,0,0,0,0,1,0
A rough-and-tumble trucker and his side kick face off with an ancient sorcerer in a supernatural battle beneath Chinatown.,1,0,1,0,0,0,0,0,0,0,1
A misfit bunch of friends comes together to right the injustices which exist in a small town.,1,0,0,1,0,0,1,0,0,0,0
Two escaped convicts and a female railway worker find themselves trapped on a speeding train with no brakes and nobody driving.,1,0,0,0,0,0,1,0,0,0,1
"San Francisco Inspector ""Dirty"" Harry Callahan is on the trail of vigilante Police Officers who are not above going beyond the law to kill the city's undesirables.",1,0,0,1,0,0,0,0,0,0,0
A man visits his relatives at their restaurant in Italy and has to help them defend against brutal gangsters harassing them.,1,0,1,0,0,0,0,0,0,0,1
A young man seeks vengence for the death of his teacher.,1,0,0,0,0,0,1,0,1,0,0
"During the 1970s, car delivery driver Kowalski delivers hot rods in record time but always runs into trouble with the highway cops.",1,0,0,1,0,0,0,0,0,1,0
Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.,1,0,1,1,0,0,0,0,0,0,0
A coffin-dragging gunslinger and a half-breed prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries.,1,0,0,0,1,0,0,0,0,0,0
A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,1,0,0,0,0,0,0,0,0,1,1
"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",1,0,0,0,0,0,0,0,0,0,1
A police unit from Mosul fight to liberate the Iraqi city from thousands of ISIS militants.,1,0,0,0,0,0,1,0,0,0,0
"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",1,0,1,0,0,0,0,0,0,0,1
A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.,1,0,0,1,0,0,1,0,0,0,0
A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.,1,0,0,1,0,0,1,0,0,0,0
"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",1,0,0,1,0,0,0,0,0,0,1
"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",1,0,0,0,0,0,1,0,1,0,0
"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",1,0,1,1,0,0,0,0,0,0,0
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,1,0,0,1,0,0,0,0,0,1,0
"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",1,0,0,0,0,0,0,0,0,0,1
"After his son is murdered by drug dealers, a snowplow driver starts seeking revenge.",1,0,1,1,0,0,0,0,0,0,0
A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,1,0,0,1,0,0,1,0,0,0,0
"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",1,0,0,0,0,0,0,0,0,0,1
"The Z-Fighters must contend with Lord Beerus, the God of Destruction, but only a God can fight a God, and none of them are Gods. However with the creation of the Super Saiyan God, will the Z-Fighters be able to defeat Lord Beerus?",1,0,0,0,0,0,0,0,0,0,1
"On a mission to rid society of its most repellent citizens, terminally ill Frank makes an unlikely accomplice in 16-year-old Roxy.",1,0,1,1,0,0,0,0,0,0,0
"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",1,0,0,0,0,0,1,0,0,0,0
"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.",1,1,0,0,0,0,0,0,0,1,0
"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",1,1,0,1,0,0,0,0,0,0,0
"A brilliant scientist creates a humanoid robot to protect mankind, but things go awry when human emotions are programmed and inner turmoil causes the robot to switch sides.",1,1,0,0,0,0,0,0,0,1,0
"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",1,1,0,0,0,0,0,0,0,0,1
"As computer hacker Lisbeth and journalist Mikael investigate a sex-trafficking ring, Lisbeth is accused of three murders, causing her to go on the run while Mikael works to clear her name.",1,0,0,1,0,0,1,0,0,0,0
A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.,1,0,1,1,0,0,0,0,0,0,0
Jean-Claude Van Damme gets involved in a bank robbery with hostages situation and reflects about his life during it.,1,0,1,1,0,0,0,0,0,0,0
"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",1,0,1,1,0,0,0,0,0,0,0
"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",1,0,0,1,0,0,0,0,0,1,0
"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",1,0,1,0,0,0,0,0,0,0,0
"Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",1,0,0,0,0,0,1,0,0,0,0
An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,1,1,0,0,0,0,0,0,0,0,1
"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",1,0,0,0,0,0,1,0,0,0,0
A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,1,0,0,0,0,0,1,1,0,0,0
"Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",1,0,0,1,0,0,0,0,0,1,0
"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",1,1,0,1,0,0,0,0,0,0,0
"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",1,0,0,0,0,0,0,0,0,0,1
A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,1,0,0,0,0,0,1,0,1,0,0
"The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.",1,0,0,0,0,0,1,0,0,0,1
"In the ghettos of Paris in 2010, an undercover cop and an ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",1,1,0,1,0,0,0,0,0,0,0
"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",1,0,0,1,0,0,0,0,0,1,0
"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",1,1,0,0,0,0,0,0,0,0,0
John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,1,0,0,0,0,0,0,0,0,1,0
"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",1,0,0,0,0,0,1,0,0,0,0
"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",1,1,0,0,0,0,0,1,0,0,0
"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money.",1,0,0,1,0,0,1,0,0,0,0
"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",1,0,0,0,0,0,0,0,0,0,1
"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",1,1,0,0,0,0,0,1,0,0,0
"In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",1,0,1,0,0,0,0,0,0,0,1
"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",1,0,0,0,0,0,0,0,0,1,1
Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,1,0,0,1,0,0,0,0,0,1,0
"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",1,0,0,1,0,0,0,0,0,0,0
"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",1,0,0,0,0,0,0,0,0,1,0
"During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager.",1,0,0,1,0,0,1,0,0,0,0
A coverup and witchhunt occur after a politician accidentally kills his mistress.,1,0,0,1,0,0,1,0,0,0,0
"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize"".",1,0,0,0,0,0,0,0,0,0,1
"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",1,1,0,0,0,0,1,0,0,0,0
"In 1997, when the U.S. president crashes into Manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him.",1,1,0,0,0,0,0,0,0,0,1
Nine people explore a cruise ship at sea in a manner that turns their whole lives upside down.,1,0,0,0,0,0,1,0,0,0,1
"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",1,0,0,0,0,0,1,0,1,0,0
"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",1,0,0,0,0,0,1,0,0,0,0
Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,1,0,1,1,0,0,0,0,0,0,0
"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",1,0,1,0,0,0,0,0,0,0,1
"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",1,0,0,0,0,0,1,0,0,0,0
"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",1,0,1,0,0,0,0,0,0,0,0
"In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.",1,0,0,1,0,0,1,0,0,0,0
"When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.",1,0,0,0,0,0,1,0,0,0,0
"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",1,1,0,0,0,0,0,0,0,0,1
"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",1,0,1,1,0,0,0,0,0,0,0
The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,1,0,0,0,0,0,1,0,0,0,0
"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",1,0,0,1,0,0,0,0,0,0,1
Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.,1,1,0,0,0,0,1,0,0,0,0
"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",1,1,0,0,0,0,0,0,0,0,0
"Yip Man's resistance against invading foreigners, along with his romantic relations while under the tutelage of three Wing Chun masters.",1,0,0,0,0,0,1,0,0,0,0
"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",1,0,0,0,0,0,0,0,0,1,0
